freq[Hz],db:Trc2_S21,ang:Trc2_S21,,,,
1.119406468822941E+011,-6.30E+00,1.673702982110929E+002,,,,
1.119606535511837E+011,-6.28E+00,1.261584754474324E+002,,,,
1.119806602200734E+011,-6.29E+00,8.523071676072763E+001,,,,
1.120006668889630E+011,-6.33E+00,4.441990301861505E+001,,,,
1.120206735578526E+011,-6.38E+00,4.201619128548103E+000,,,,
1.120406802267423E+011,-6.35E+00,-3.61E+01,,,,
1.120606868956319E+011,-6.32E+00,-7.67E+01,,,,
1.120806935645215E+011,-6.28E+00,-1.17E+02,,,,
1.121007002334111E+011,-6.31E+00,-1.57E+02,,,,
1.121207069023008E+011,-6.21E+00,1.625263792487652E+002,,,,
1.121407135711904E+011,-6.12E+00,1.219954024837037E+002,,,,
1.121607202400800E+011,-6.11E+00,8.142869052990345E+001,,,,
1.121807269089697E+011,-6.11E+00,4.114883559474247E+001,,,,
1.122007335778593E+011,-6.11E+00,1.450065660796329E+000,,,,
1.122207402467489E+011,-5.99E+00,-3.85E+01,,,,
1.122407469156386E+011,-5.91E+00,-7.92E+01,,,,
1.122607535845282E+011,-5.93E+00,-1.20E+02,,,,
1.122807602534178E+011,-6.01E+00,-1.60E+02,,,,
1.123007669223074E+011,-6.08E+00,1.602807274278247E+002,,,,
1.123207735911971E+011,-6.11E+00,1.206433460545009E+002,,,,
1.123407802600867E+011,-6.13E+00,8.132084757306181E+001,,,,
1.123607869289763E+011,-6.10E+00,4.208731048642777E+001,,,,
1.123807935978660E+011,-6.07E+00,2.441556811652949E+000,,,,
1.124008002667556E+011,-5.98E+00,-3.69E+01,,,,
1.124208069356452E+011,-5.88E+00,-7.71E+01,,,,
1.124408136045349E+011,-5.86E+00,-1.18E+02,,,,
1.124608202734245E+011,-5.87E+00,-1.58E+02,,,,
1.124808269423141E+011,-5.91E+00,1.615567764604035E+002,,,,
1.125008336112037E+011,-5.89E+00,1.211775002651187E+002,,,,
1.125208402800934E+011,-5.84E+00,8.064530979141227E+001,,,,
1.125408469489830E+011,-5.86E+00,3.959935349898053E+001,,,,
1.125608536178726E+011,-5.91E+00,-1.41E+00,,,,
1.125808602867623E+011,-5.99E+00,-4.23E+01,,,,
1.126008669556519E+011,-6.03E+00,-8.27E+01,,,,
1.126208736245415E+011,-6.02E+00,-1.23E+02,,,,
1.126408802934311E+011,-6.00E+00,-1.65E+02,,,,
1.126608869623208E+011,-6.04E+00,1.540582809001351E+002,,,,
1.126808936312104E+011,-6.16E+00,1.126980506597921E+002,,,,
1.127009003001000E+011,-6.23E+00,7.195556530551072E+001,,,,
1.127209069689897E+011,-6.28E+00,3.093593473720078E+001,,,,
1.127409136378793E+011,-6.40E+00,-1.02E+01,,,,
1.127609203067689E+011,-6.50E+00,-5.05E+01,,,,
1.127809269756586E+011,-6.50E+00,-9.04E+01,,,,
1.128009336445482E+011,-6.37E+00,-1.31E+02,,,,
1.128209403134378E+011,-6.21E+00,-1.72E+02,,,,
1.128409469823274E+011,-6.12E+00,1.467167333961058E+002,,,,
1.128609536512171E+011,-6.17E+00,1.052176533699955E+002,,,,
1.128809603201067E+011,-6.22E+00,6.464405008651083E+001,,,,
1.129009669889963E+011,-6.17E+00,2.408330909871662E+001,,,,
1.129209736578860E+011,-6.06E+00,-1.67E+01,,,,
1.129409803267756E+011,-5.99E+00,-5.76E+01,,,,
1.129609869956652E+011,-6.02E+00,-9.88E+01,,,,
1.129809936645549E+011,-6.06E+00,-1.39E+02,,,,
1.130010003334445E+011,-6.05E+00,-1.79E+02,,,,
1.130210070023341E+011,-6.03E+00,1.407992630568957E+002,,,,
1.130410136712237E+011,-6.03E+00,1.007263583398486E+002,,,,
1.130610203401134E+011,-6.10E+00,6.124086432817487E+001,,,,
1.130810270090030E+011,-6.15E+00,2.193174626518400E+001,,,,
1.131010336778926E+011,-6.14E+00,-1.72E+01,,,,
1.131210403467823E+011,-6.12E+00,-5.65E+01,,,,
1.131410470156719E+011,-6.13E+00,-9.62E+01,,,,
1.131610536845615E+011,-6.28E+00,-1.36E+02,,,,
1.131810603534512E+011,-6.38E+00,-1.75E+02,,,,
1.132010670223408E+011,-6.41E+00,1.464522606081063E+002,,,,
1.132210736912304E+011,-6.42E+00,1.070432088826430E+002,,,,
1.132410803601200E+011,-6.50E+00,6.700604276011758E+001,,,,
1.132610870290097E+011,-6.61E+00,2.793600960281212E+001,,,,
1.132810936978993E+011,-6.59E+00,-1.11E+01,,,,
1.133011003667889E+011,-6.50E+00,-5.09E+01,,,,
1.133211070356786E+011,-6.40E+00,-9.10E+01,,,,
1.133411137045682E+011,-6.37E+00,-1.32E+02,,,,
1.133611203734578E+011,-6.39E+00,-1.73E+02,,,,
1.133811270423474E+011,-6.35E+00,1.464918164879527E+002,,,,
1.134011337112371E+011,-6.30E+00,1.056713725894244E+002,,,,
1.134211403801267E+011,-6.20E+00,6.376137008133109E+001,,,,
1.134411470490163E+011,-6.31E+00,2.175679611428587E+001,,,,
1.134611537179060E+011,-6.42E+00,-1.90E+01,,,,
1.134811603867956E+011,-6.40E+00,-5.94E+01,,,,
1.135011670556852E+011,-6.26E+00,-1.01E+02,,,,
1.135211737245749E+011,-6.24E+00,-1.43E+02,,,,
1.135411803934645E+011,-6.39E+00,1.747024664435277E+002,,,,
1.135611870623541E+011,-6.54E+00,1.340154002254542E+002,,,,
1.135811937312437E+011,-6.54E+00,9.339457909806814E+001,,,,
1.136012004001334E+011,-6.41E+00,5.249317159046434E+001,,,,
1.136212070690230E+011,-6.38E+00,1.069155322784461E+001,,,,
1.136412137379126E+011,-6.46E+00,-3.09E+01,,,,
1.136612204068023E+011,-6.57E+00,-7.11E+01,,,,
1.136812270756919E+011,-6.54E+00,-1.11E+02,,,,
1.137012337445815E+011,-6.38E+00,-1.51E+02,,,,
1.137212404134712E+011,-6.31E+00,1.676228510156597E+002,,,,
1.137412470823608E+011,-6.38E+00,1.271305737578517E+002,,,,
1.137612537512504E+011,-6.48E+00,8.758362373913967E+001,,,,
1.137812604201401E+011,-6.42E+00,4.898454424117340E+001,,,,
