stripe_idx,ru_idx,distance_m,tx_theta_deg,tx_phi_deg,rx_theta_deg,rx_phi_deg,g_tx_dbi,g_rx_dbi,g_total_db,mean_power_iso,mean_power_patterned,pattern_vs_iso_db
0,0,10.899087991574792,79.42621551503133,-91.46217540484238,100.57378448496868,-91.46217540484238,-4.077068255017426,-4.07706825501743,-8.154136510034856,1.9253186796014284e-10,2.945024915833597e-11,-8.154136510034855
0,1,9.918118073271287,78.3664690813215,-91.61267592622374,101.63353091867852,-91.61267592622374,-4.222167380825975,-4.222167380825975,-8.444334761651952,2.3250076897870914e-10,3.326525963501277e-11,-8.44433476165195
0,2,8.94136528627543,77.07476060236894,-91.79770173211257,102.92523939763106,-91.79770173211257,-4.408652847670471,-4.408652847670464,-8.817305695340934,2.860719435678347e-10,3.756165306460676e-11,-8.817305695340934
0,3,7.970380182266844,75.46750408108572,-92.03066675531409,104.53249591891428,-92.03066675531409,-4.655631889403839,-4.655631889403832,-9.311263778807671,3.6001854056258825e-10,4.218892788761582e-11,-9.311263778807673
0,4,7.007560725183392,73.4168802652705,-92.33296319843453,106.58311973472951,-92.33296319843453,-4.995150636136824,-4.995150636136813,-9.990301272273637,4.657460734374204e-10,4.6678734662357605e-11,-9.990301272273637
0,5,6.056802323371098,70.71864518957003,-92.74092384145972,109.28135481042999,-92.7409238414597,-5.4844485631994,-5.484448563199393,-10.968897126398794,6.234421234411716e-10,4.9877701270412784e-11,-10.968897126398794
0,6,5.124822089756314,67.02948036723998,-93.3216068044633,112.97051963276002,-93.3216068044633,-6.234036645015475,-6.234036645015475,-12.46807329003095,8.708139055055154e-10,4.9330784996748295e-11,-12.46807329003095
0,7,4.224067769214293,61.739749711862984,-94.21390767691913,118.26025028813703,-94.21390767691912,-7.479012012600773,-7.479012012600762,-14.958024025201535,1.2818027161729686e-09,4.092783623078741e-11,-14.958024025201533
0,8,3.379599915104709,53.71614734818476,-95.75949848643118,126.28385265181524,-95.75949848643117,-9.783856606763898,-9.783856606763884,-19.56771321352778,2.0024070281839975e-09,2.2119792037414057e-11,-19.56771321352778
0,9,2.6458727583609347,40.89643131919441,-99.08065320281777,139.1035686808056,-99.08065320281777,-10.0,-10.0,-20.0,3.2669691409415878e-09,3.2669691409415886e-11,-20.0
0,10,2.1399975982924007,20.839524738661904,-111.0452495676867,159.1604752613381,-111.0452495676867,-10.0,-10.0,-20.0,4.994090062734788e-09,4.9940900627347865e-11,-20.0
0,11,2.039249074526696,11.259425731262334,133.36320401866746,168.74057426873767,133.3632040186675,-10.0,-10.0,-20.0,5.499742982138443e-09,5.4997429821384454e-11,-19.999999999999996
0,12,2.3953045433135904,33.38760864192458,101.97038736475602,146.61239135807543,101.97038736475602,-10.0,-10.0,-20.0,3.986221851366688e-09,3.98622185136669e-11,-19.999999999999996
0,13,3.0522829034149948,49.06159905238058,96.80953388017024,130.93840094761944,96.80953388017025,-10.0,-10.0,-20.0,2.4548975574274573e-09,2.4548975574274572e-11,-20.0
0,14,3.8594530687313986,58.78786628864469,94.75095842705682,121.2121337113553,94.75095842705683,-8.265869103890292,-8.265869103890292,-16.531738207780585,1.5354349202342984e-09,3.412381609427653e-11,-16.53173820778058
0,15,4.7407093411219545,65.04680263036813,93.64681363951487,114.95319736963187,93.64681363951489,-6.676604299555489,-6.6766042995555175,-13.353208599111007,1.017644955189077e-09,4.701922040381613e-11,-13.353208599111008
0,16,5.661560926481468,69.31319116442035,92.95873357816296,110.68680883557965,92.95873357816296,-5.758873964276525,-5.758873964276525,-11.51774792855305,7.135272625793825e-10,5.030785245333324e-11,-11.517747928553048
0,17,6.605468885062017,72.3753820825534,92.48895469074907,107.6246179174466,92.48895469074907,-5.178226451664134,-5.178226451664134,-10.356452903328268,5.24174198317655e-10,4.828701391490412e-11,-10.356452903328266
0,18,7.563806334034682,74.6676782545112,92.14785480985589,105.3323217454888,92.14785480985589,-4.784777948872321,-4.784777948872321,-9.569555897744642,3.9976258152271635e-10,4.41414455290362e-11,-9.569555897744642
