freq[Hz]	db:Trc1_S21	ang:Trc1_S21
1.428000000000000E+011	-6.577098187449725E+000	6.437249725712705E+001
1.428500000000000E+011	-6.379879968345495E+000	-7.707019567310184E+001
1.429000000000000E+011	-6.024633145569974E+000	1.465118453801987E+002
1.429500000000000E+011	-5.981230606582191E+000	1.286419295915348E+001
1.430000000000000E+011	-6.523847104855648E+000	-1.225018942760626E+002
1.430500000000000E+011	-6.607851297825940E+000	9.590045716842192E+001
1.431000000000000E+011	-6.088733010594866E+000	-4.045069892233523E+001
1.431500000000000E+011	-5.957935610569227E+000	-1.740838157308934E+002
1.432000000000000E+011	-6.325219935594481E+000	5.096904559326168E+001
1.432500000000000E+011	-6.718896160224780E+000	-8.970265027407550E+001
1.433000000000000E+011	-6.159021526654699E+000	1.333989044948859E+002
1.433500000000000E+011	-6.019564106046455E+000	-4.273981842532858E-001
1.434000000000000E+011	-6.248366276476962E+000	-1.343790188467005E+002
1.434500000000000E+011	-6.780392922079583E+000	8.629929069097160E+001
1.435000000000000E+011	-6.279182420018785E+000	-5.177534298704657E+001
1.435500000000000E+011	-5.998802350164703E+000	1.730080304425251E+002
1.436000000000000E+011	-6.104815853425015E+000	3.839979591675540E+001
1.436500000000000E+011	-6.686072244141993E+000	-1.004242162886132E+002
1.437000000000000E+011	-6.208363198168138E+000	1.199968307672757E+002
1.437500000000000E+011	-6.008040062417187E+000	-1.628904156731571E+001
1.438000000000000E+011	-6.049945675945520E+000	-1.512466609601748E+002
1.438500000000000E+011	-6.675727548616169E+000	7.139330619257564E+001
1.439000000000000E+011	-6.266309555750135E+000	-6.825963440009836E+001
1.439500000000000E+011	-6.053240062550207E+000	1.561331963084175E+002
1.440000000000000E+011	-6.117088703962906E+000	2.124877738425990E+001
1.440500000000000E+011	-6.612185719746655E+000	-1.148504831649512E+002
1.441000000000000E+011	-6.383937366054749E+000	1.056161191435955E+002
1.441500000000000E+011	-6.225180448491303E+000	-2.935052822584982E+001
1.442000000000000E+011	-6.203676368840937E+000	-1.637565226937393E+002
1.442500000000000E+011	-6.512943881753795E+000	6.077786764100843E+001
1.443000000000000E+011	-6.560684965977009E+000	-7.876684466211115E+001
1.443500000000000E+011	-6.284649472878381E+000	1.450475431840075E+002
1.444000000000000E+011	-6.248248820274568E+000	9.599970807754962E+000
1.444500000000000E+011	-6.506452146439114E+000	-1.267651680021180E+002
1.445000000000000E+011	-6.588307263058463E+000	9.408574535605750E+001
1.445500000000000E+011	-6.384772848962697E+000	-4.314321902788537E+001
1.446000000000000E+011	-6.415580910121024E+000	-1.791534798340247E+002
1.446500000000000E+011	-6.457983870236885E+000	4.449083618172526E+001
1.447000000000000E+011	-6.682585609625455E+000	-9.255543099418026E+001
1.447500000000000E+011	-6.542277619121856E+000	1.302240501552387E+002
1.448000000000000E+011	-6.447845019565922E+000	-5.701725580768886E+000
1.448500000000000E+011	-6.475369939892252E+000	-1.415108776291249E+002
1.449000000000000E+011	-6.580768954669066E+000	8.280987756348017E+001
1.449500000000000E+011	-6.656323150220815E+000	-5.492962540063976E+001
1.450000000000000E+011	-6.438503268470008E+000	1.690106376752889E+002
1.450500000000000E+011	-6.365973824445433E+000	3.374715730639861E+001
1.451000000000000E+011	-6.389709142733164E+000	-1.013360977173786E+002
1.451500000000000E+011	-6.733063039924270E+000	1.207506611913152E+002
1.452000000000000E+011	-6.449233322460078E+000	-1.714747268473730E+001
1.452500000000000E+011	-6.159258093415188E+000	-1.523489186303150E+002
1.453000000000000E+011	-6.284984741031496E+000	7.228685726429417E+001
1.453500000000000E+011	-6.767650312456249E+000	-6.451109942126502E+001
1.454000000000000E+011	-6.502984223694185E+000	1.550319049558887E+002
1.454500000000000E+011	-6.134121623638397E+000	1.904109624885572E+001
1.455000000000000E+011	-6.244566702771364E+000	-1.156484465121375E+002
1.455500000000000E+011	-6.581379927623248E+000	1.074552743098185E+002
1.456000000000000E+011	-6.808558184531951E+000	-3.321530385789988E+001
1.456500000000000E+011	-6.147400760311380E+000	-1.689238270710978E+002
1.457000000000000E+011	-6.171081094611056E+000	5.659442946061475E+001
1.457500000000000E+011	-6.457260840721665E+000	-7.965251162502874E+001
1.458000000000000E+011	-6.785019505363286E+000	1.418957523296186E+002
1.458500000000000E+011	-6.172852372919516E+000	4.640515770438358E+000
1.459000000000000E+011	-6.209839721209772E+000	-1.285030853982614E+002
1.459500000000000E+011	-6.358443930682582E+000	9.603541717610089E+001
