freq[Hz],db:Trc2_S21,ang:Trc2_S21
1.139813271090364E+011,-7.61E+00,1.490074589424216E+002
1.140013337779260E+011,-7.64E+00,1.058833302010473E+002
1.140213404468156E+011,-8.34E+00,6.410731993751651E+001
1.140413471157052E+011,-8.85E+00,2.964215853711317E+001
1.140613537845949E+011,-8.31E+00,-7.84E+00
1.140813604534845E+011,-7.99E+00,-4.90E+01
1.141013671223741E+011,-8.03E+00,-9.16E+01
1.141213737912638E+011,-8.64E+00,-1.32E+02
1.141413804601534E+011,-8.58E+00,-1.67E+02
1.141613871290430E+011,-8.17E+00,1.540306182429727E+002
1.141813937979327E+011,-7.63E+00,1.129638324477099E+002
1.142014004668223E+011,-7.48E+00,6.901546445546150E+001
1.142214071357119E+011,-7.85E+00,2.804182204371440E+001
1.142414138046015E+011,-7.80E+00,-1.10E+01
1.142614204734912E+011,-7.65E+00,-5.05E+01
1.142814271423808E+011,-7.26E+00,-9.25E+01
1.143014338112704E+011,-7.51E+00,-1.36E+02
1.143214404801601E+011,-8.02E+00,-1.73E+02
1.143414471490497E+011,-7.59E+00,1.487036628331973E+002
1.143614538179393E+011,-7.25E+00,1.083018210199521E+002
1.143814604868290E+011,-7.17E+00,6.631672803698800E+001
1.144014671557186E+011,-7.30E+00,2.736806010821165E+001
1.144214738246082E+011,-6.88E+00,-1.16E+01
1.144414804934978E+011,-6.58E+00,-5.26E+01
1.144614871623875E+011,-6.33E+00,-9.42E+01
1.144814938312771E+011,-6.36E+00,-1.36E+02
1.145015005001667E+011,-6.45E+00,-1.76E+02
1.145215071690564E+011,-6.31E+00,1.439410476995525E+002
1.145415138379460E+011,-6.21E+00,1.036107652557319E+002
1.145615205068356E+011,-6.13E+00,6.289727378073543E+001
1.145815271757252E+011,-6.11E+00,2.236686667460834E+001
1.146015338446149E+011,-6.15E+00,-1.83E+01
1.146215405135045E+011,-6.24E+00,-5.80E+01
1.146415471823941E+011,-6.16E+00,-9.72E+01
1.146615538512838E+011,-5.91E+00,-1.38E+02
1.146815605201734E+011,-5.98E+00,1.795393322205261E+002
1.147015671890630E+011,-6.43E+00,1.398811576554236E+002
1.147215738579527E+011,-6.40E+00,1.016300050788643E+002
